127.0.0.1 - - [04/Jan/2023:08:53:45 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Jan/2023:08:53:47 +0530] "GET /NewAgentJsp/AgentShow.jsp HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [04/Jan/2023:08:53:47 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [04/Jan/2023:08:53:51 +0530] "GET /NewAgentJsp/AddAgent.jsp HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [04/Jan/2023:08:54:03 +0530] "POST /NewAgentJsp/AddAgent.jsp HTTP/1.1" 500 3227
0:0:0:0:0:0:0:1 - - [04/Jan/2023:08:54:42 +0530] "GET /NewAgentJsp/AgentShow.jsp HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [04/Jan/2023:08:54:42 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [04/Jan/2023:08:54:43 +0530] "GET /NewAgentJsp/AddAgent.jsp HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [04/Jan/2023:08:54:51 +0530] "POST /NewAgentJsp/AddAgent.jsp HTTP/1.1" 500 3227
0:0:0:0:0:0:0:1 - - [04/Jan/2023:08:57:00 +0530] "GET /NewAgentJsp/AgentShow.jsp HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [04/Jan/2023:08:57:00 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [04/Jan/2023:08:57:02 +0530] "GET /NewAgentJsp/AddAgent.jsp HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [04/Jan/2023:08:57:13 +0530] "POST /NewAgentJsp/AddAgent.jsp HTTP/1.1" 500 3054
0:0:0:0:0:0:0:1 - - [04/Jan/2023:08:58:01 +0530] "GET /NewAgentJsp/AgentShow.jsp HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [04/Jan/2023:08:58:01 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [04/Jan/2023:08:58:02 +0530] "GET /NewAgentJsp/AddAgent.jsp HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [04/Jan/2023:08:58:12 +0530] "POST /NewAgentJsp/AddAgent.jsp HTTP/1.1" 200 1584
